Name,Image
Affenpinscher,https://www.akc.org/wp-content/uploads/2017/11/Affenpinscher-running-outdoors-400x267.jpg
Afghan Hound,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02151216/Afghan-Hound-standing-in-a-garden-400x267.jpg
Airedale Terrier,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02165956/Airedale-Terrier-standing-stacked-outdoors-400x267.jpg
Akita,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/06154034/Akita-standing-outdoors-in-the-summer-400x267.jpg
Alaskan Malamute,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09151144/Alaskan-Malamute-standing-in-the-grass1-400x267.jpg
American Bulldog,https://www.akc.org/wp-content/uploads/2020/01/American-Bulldog-standing-in-three-quarter-view-400x267.jpg
American English Coonhound,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12133501/American-English-Coonhound-howling-in-a-field1-400x267.jpg
American Eskimo Dog,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12153852/American-Eskimo-Dog-standing-in-the-grass-in-bright-sunlight-400x267.jpg
American Foxhound,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
American Hairless Terrier,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
American Leopard Hound,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
American Staffordshire Terrier,https://www.akc.org/wp-content/uploads/2017/11/AmStaff.01-400x267.jpg
American Water Spaniel,https://www.akc.org/wp-content/uploads/2017/11/American-Water-Spaniel.1-400x267.jpg
Anatolian Shepherd Dog,https://www.akc.org/wp-content/uploads/2017/11/Anatolian-Shepherd-Dog-On-White-01-400x267.jpg
Appenzeller Sennenhund,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Australian Cattle Dog,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Australian Kelpie,https://www.akc.org/wp-content/themes/akc/component-library/assets/img/1x1.trans.gif
Australian Shepherd,https://www.akc.org/wp-content/uploads/2017/11/Australian-Shepherd.1-400x267.jpg
Australian Stumpy Tail Cattle Dog,https://www.akc.org/wp-content/uploads/2018/07/Australian-Stumpy-Tail-Cattle-Dog-Slideshow-04-400x267.jpg
