Name,SIZE,EXERCISE,SIZE_OF_HOME,GROOMING,COAT_LENGTH,SHEDS,LIFESPAN,VULNERABLE_NATIVE_BREED,TOWN_OR_COUNTRY,SIZE_OF_GARDEN
affenpinscher,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
afghan_hound,Large,More than 2 hours per day,Large house,Every day,Long,Yes,Over 10 years,No,Country,Large garden
african_hunting_dog,Medium,More than 2 hours per day,Large house,Every day,Short,Yes,Over 10 years,No,Either,Large garden
airedale,Medium,Up to 1 hour per day,Large house,Every day,Medium,Yes,Over 10 years,No,Either,Large garden
american_staffordshire_terrier,Medium,60-90,Medium house or apartment,Moderate,Short,Yes,16-Dec,No,Town or country,Medium
appenzeller,Medium,60-90,Medium house or apartment,Moderate,Medium,Yes,15-Dec,Yes,Country,Medium
australian_terrier,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
basenji,Small,Up to 1 hour per day,Small house,Once a week,Short,Yes,Over 12 years,No,Either,Small/ medium garden
basset,Medium,More than 2 hours per day,Small house,Once a week,Short,Yes,Over 10 years,,Either,Small/ medium garden
beagle,Small,Up to 1 hour per day,Small house,Once a week,Short,Yes,Over 12 years,No,Either,Small/ medium garden
bedlington_terrier,Small,Up to 1 hour per day,Small house,Once a week,Medium,No,Over 10 years,No,Either,Small/ medium garden
bernese_mountain_dog,Large,Up to 1 hour per day,Large house,More than once a week,Medium,Yes,Under 10 years,No,Either,Large garden
black-and-tan_coonhound,Large,60-90,Medium house or apartment,Moderate,Short,Yes,12-Oct,No,Town or country,Medium
blenheim_spaniel,Small,30-60,Small house or apartment,Moderate,Long,Yes,15-Dec,No,Town or country,Small
bloodhound,Large,More than 2 hours per day,Large house,Once a week,Short,Yes,Under 10 years,Yes,Country,Large garden
bluetick,Large,60-90,Medium house or apartment,Moderate,Short,Yes,12-Oct,No,Town or country,Medium
border_collie,Medium,More than 2 hours per day,Small house,More than once a week,Medium,Yes,Over 12 years,No,Either,Large garden
border_terrier,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Short,Yes,Over 12 years,No,Either,Small/ medium garden
borzoi,Large,Up to 1 hour per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Country,Large garden
boston_bull,Small,Up to 1 hour per day,Flat/ Apartment,Once a week,Short,Yes,Over 10 years,No,Either,Small/ medium garden
bouvier_des_flandres,Large,Up to 1 hour per day,Large house,Every day,Medium,No,Over 10 years,No,Either,Large garden
boxer,Large,More than 2 hours per day,Large house,Once a week,Short,Yes,Over 10 years,No,Either,Large garden
brabancon_griffon,Large,More than 2 hours per day,Large house,Once a week,Short,Yes,Under 10 years,No,Country,Large garden
briard,Large,More than 2 hours per day,Large house,Every day,Long,Yes,Over 10 years,No,Either,Large garden
brittany_spaniel,Medium,More than 2 hours per day,Small house,More than once a week,Medium,Yes,Over 10 years,No,Country,Large garden
bull_mastiff,Medium,Up to 1 hour per day,Small house,Once a week,Short,Yes,Over 10 years,No,Either,Small/ medium garden
cairn,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 10 years,No,Either,Small/ medium garden
cardigan,Small ,1-2 hours per day,Apartment,Moderate,Medium,Yes,12-15 years,No,Town or country,Small 
chesapeake_bay_retriever,Large,1-2 hours per day,House with yard,High,Medium,Yes,10-13 years,No,Country,Large
chihuahua,Small,Up to 30 minutes per day,Flat/ Apartment,Once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
